,file_name,sentiment_score,interpretation
415,86772_1993.txt,0,neutral
384,865937_1993.txt,0,neutral
356,865227_1993.txt,-1,negative
32,863517_1993.txt,0,neutral
42,86312_1993.txt,-1,negative
107,862923_1993.txt,-1,negative
702,861439_1993.txt,1,positive
210,861388_1993.txt,-1,negative
328,86104_1993.txt,-1,negative
590,86103_1993.txt,-1,negative
665,860730_1993.txt,-1,negative
669,860713_1993.txt,1,positive
644,860521_1993.txt,-1,negative
952,860520_1993.txt,-1,negative
935,860004_1993.txt,-1,negative
1026,85974_1993.txt,-1,negative
870,85961_1993.txt,-1,negative
774,859257_1993.txt,-1,negative
978,859119_1993.txt,-1,negative
26,858470_1993.txt,-1,negative
625,858339_1993.txt,-1,negative
344,857571_1993.txt,-1,negative
880,857402_1993.txt,-1,negative
363,857067_1993.txt,-1,negative
728,856716_1993.txt,1,positive
98,855433_1993.txt,-1,negative
125,854884_1993.txt,-1,negative
733,854094_1993.txt,-1,negative
95,853436_1993.txt,0,neutral
806,852807_1993.txt,-1,negative
694,852772_1993.txt,1,positive
860,851945_1993.txt,-1,negative
757,850693_1993.txt,-1,negative
569,850143_1993.txt,-1,negative
167,850033_1993.txt,-1,negative
29,849979_1993.txt,-1,negative
572,849869_1993.txt,1,positive
848,849213_1993.txt,0,neutral
502,84839_1993.txt,-1,negative
251,84792_1993.txt,-1,negative
135,847322_1993.txt,-1,negative
681,846972_1993.txt,0,neutral
594,846902_1993.txt,-1,negative
102,846494_1993.txt,-1,negative
486,84613_1993.txt,-1,negative
17,84557_1993.txt,-1,negative
541,845091_1993.txt,-1,negative
584,842635_1993.txt,1,positive
528,842461_1993.txt,-1,negative
895,842162_1993.txt,1,positive
65,840889_1993.txt,1,positive
103,840260_1993.txt,0,neutral
14,840251_1993.txt,1,positive
87,840216_1993.txt,-1,negative
719,837486_1993.txt,-1,negative
254,837227_1993.txt,0,neutral
493,836442_1993.txt,0,neutral
483,836400_1993.txt,0,neutral
159,836243_1993.txt,0,neutral
959,83612_1993.txt,0,neutral
9,835715_1993.txt,-1,negative
332,835669_1993.txt,0,neutral
67,835664_1993.txt,-1,negative
190,83394_1993.txt,-1,negative
25,833890_1993.txt,-1,negative
576,833088_1993.txt,-1,negative
456,833079_1993.txt,0,neutral
377,833053_1993.txt,0,neutral
684,83246_1993.txt,-1,negative
437,832428_1993.txt,-1,negative
951,832427_1993.txt,0,neutral
818,831964_1993.txt,0,neutral
63,831259_1993.txt,1,positive
131,831001_1993.txt,-1,negative
282,83047_1993.txt,-1,negative
828,830260_1993.txt,-1,negative
307,830158_1993.txt,-1,negative
555,829732_1993.txt,-1,negative
619,829444_1993.txt,-1,negative
534,829218_1993.txt,0,neutral
965,828916_1993.txt,0,neutral
353,828530_1993.txt,0,neutral
767,826675_1993.txt,1,positive
201,825541_1993.txt,1,positive
104,824430_1993.txt,-1,negative
186,823549_1993.txt,1,positive
503,823393_1993.txt,-1,negative
69,823392_1993.txt,-1,negative
905,823094_1993.txt,-1,negative
751,822697_1993.txt,-1,negative
111,82231_1993.txt,-1,negative
983,821480_1993.txt,0,neutral
355,821202_1993.txt,0,neutral
287,821026_1993.txt,1,positive
560,821020_1993.txt,-1,negative
608,820081_1993.txt,0,neutral
942,819898_1993.txt,0,neutral
1041,819793_1993.txt,-1,negative
591,819671_1993.txt,-1,negative
784,818080_1993.txt,-1,negative
230,817946_1993.txt,-1,negative
121,817473_1993.txt,-1,negative
209,817383_1993.txt,-1,negative
160,815917_1993.txt,1,positive
466,815743_1993.txt,0,neutral
15,814677_1993.txt,-1,negative
277,814577_1993.txt,0,neutral
626,814429_1993.txt,-1,negative
552,814361_1993.txt,-1,negative
51,814331_1993.txt,-1,negative
393,814246_1993.txt,-1,negative
381,814241_1993.txt,0,neutral
182,814153_1993.txt,-1,negative
1005,814135_1993.txt,-1,negative
459,813828_1993.txt,-1,negative
871,81362_1993.txt,-1,negative
1010,81350_1993.txt,-1,negative
10,812708_1993.txt,-1,negative
1036,812701_1993.txt,0,neutral
357,812427_1993.txt,0,neutral
303,812305_1993.txt,0,neutral
986,812074_1993.txt,-1,negative
512,811930_1993.txt,-1,negative
755,811671_1993.txt,1,positive
888,811664_1993.txt,-1,negative
145,811596_1993.txt,-1,negative
301,811553_1993.txt,-1,negative
801,811532_1993.txt,-1,negative
269,811156_1993.txt,-1,negative
27,81100_1993.txt,0,neutral
383,81076_1993.txt,-1,negative
653,810765_1993.txt,0,neutral
814,810724_1993.txt,1,positive
1055,81061_1993.txt,-1,negative
1018,810578_1993.txt,-1,negative
729,810536_1993.txt,0,neutral
166,81033_1993.txt,-1,negative
1049,81023_1993.txt,-1,negative
803,810113_1993.txt,0,neutral
161,810021_1993.txt,0,neutral
857,810020_1993.txt,0,neutral
929,809697_1993.txt,1,positive
327,80966_1993.txt,-1,negative
156,808364_1993.txt,-1,negative
678,807862_1993.txt,1,positive
783,807711_1993.txt,-1,negative
12,80661_1993.txt,-1,negative
1032,806086_1993.txt,0,neutral
139,806085_1993.txt,0,neutral
85,806031_1993.txt,1,positive
894,806027_1993.txt,-1,negative
195,805264_1993.txt,-1,negative
335,805022_1993.txt,-1,negative
401,805019_1993.txt,0,neutral
1004,804151_1993.txt,0,neutral
903,804124_1993.txt,-1,negative
313,804055_1993.txt,-1,negative
379,803649_1993.txt,0,neutral
101,80293_1993.txt,-1,negative
11,801441_1993.txt,0,neutral
453,80134_1993.txt,-1,negative
509,801124_1993.txt,-1,negative
370,800287_1993.txt,-1,negative
690,800240_1993.txt,-1,negative
717,799319_1993.txt,1,positive
440,799036_1993.txt,1,positive
144,798905_1993.txt,0,neutral
376,79879_1993.txt,-1,negative
223,7974_1993.txt,1,positive
359,797463_1993.txt,1,positive
507,79732_1993.txt,-1,negative
630,79731_1993.txt,-1,negative
612,79716_1993.txt,-1,negative
685,796838_1993.txt,-1,negative
308,796370_1993.txt,-1,negative
7,79636_1993.txt,-1,negative
175,795879_1993.txt,-1,negative
540,795581_1993.txt,-1,negative
524,794447_1993.txt,1,positive
712,794323_1993.txt,1,positive
820,793548_1993.txt,-1,negative
306,793467_1993.txt,0,neutral
174,793421_1993.txt,-1,negative
155,793308_1993.txt,-1,negative
593,79326_1993.txt,-1,negative
874,792863_1993.txt,1,positive
963,792397_1993.txt,-1,negative
56,79209_1993.txt,0,neutral
592,792014_1993.txt,0,neutral
746,79166_1993.txt,-1,negative
958,791445_1993.txt,-1,negative
873,791269_1993.txt,0,neutral
785,791024_1993.txt,-1,negative
176,790929_1993.txt,-1,negative
734,790650_1993.txt,-1,negative
899,790603_1993.txt,-1,negative
18,790159_1993.txt,-1,negative
305,790051_1993.txt,1,positive
163,789950_1993.txt,-1,negative
43,789933_1993.txt,-1,negative
352,789895_1993.txt,0,neutral
450,789575_1993.txt,-1,negative
640,789570_1993.txt,-1,negative
118,789538_1993.txt,-1,negative
563,789388_1993.txt,-1,negative
84,789292_1993.txt,0,neutral
165,789073_1993.txt,-1,negative
1034,78890_1993.txt,1,positive
727,788784_1993.txt,-1,negative
1033,78853_1993.txt,0,neutral
387,78814_1993.txt,-1,negative
59,788043_1993.txt,1,positive
120,787977_1993.txt,-1,negative
811,784977_1993.txt,-1,negative
284,784014_1993.txt,-1,negative
380,783425_1993.txt,-1,negative
891,782975_1993.txt,0,neutral
821,78214_1993.txt,-1,negative
64,78128_1993.txt,-1,negative
217,78100_1993.txt,-1,negative
720,78066_1993.txt,-1,negative
267,77943_1993.txt,-1,negative
506,778439_1993.txt,0,neutral
732,778437_1993.txt,-1,negative
137,778201_1993.txt,0,neutral
566,77543_1993.txt,0,neutral
508,775368_1993.txt,-1,negative
2,774459_1993.txt,-1,negative
1022,774350_1993.txt,1,positive
298,774203_1993.txt,-1,negative
398,774197_1993.txt,-1,negative
76,773915_1993.txt,-1,negative
375,773910_1993.txt,0,neutral
66,773652_1993.txt,-1,negative
141,77360_1993.txt,-1,negative
474,77278_1993.txt,-1,negative
109,77242_1993.txt,-1,negative
373,77227_1993.txt,-1,negative
770,771950_1993.txt,0,neutral
990,771667_1993.txt,0,neutral
589,771498_1993.txt,1,positive
542,77098_1993.txt,-1,negative
207,770949_1993.txt,0,neutral
646,770461_1993.txt,-1,negative
996,76888_1993.txt,1,positive
213,768170_1993.txt,0,neutral
740,768158_1993.txt,-1,negative
782,766916_1993.txt,0,neutral
543,766829_1993.txt,-1,negative
807,766701_1993.txt,-1,negative
361,766421_1993.txt,0,neutral
586,765880_1993.txt,1,positive
435,765813_1993.txt,-1,negative
304,765506_1993.txt,-1,negative
995,7649_1993.txt,0,neutral
792,764764_1993.txt,1,positive
73,764622_1993.txt,-1,negative
993,764542_1993.txt,-1,negative
846,764180_1993.txt,-1,negative
893,764065_1993.txt,-1,negative
826,764044_1993.txt,0,neutral
701,764037_1993.txt,-1,negative
1000,763907_1993.txt,-1,negative
262,763739_1993.txt,-1,negative
1044,762129_1993.txt,0,neutral
417,75754_1993.txt,-1,negative
445,75641_1993.txt,-1,negative
396,75608_1993.txt,-1,negative
627,75594_1993.txt,-1,negative
392,755497_1993.txt,0,neutral
1057,75527_1993.txt,-1,negative
35,754737_1993.txt,-1,negative
488,754673_1993.txt,-1,negative
992,7536_1993.txt,1,positive
3,75362_1993.txt,-1,negative
162,75252_1993.txt,-1,negative
902,75234_1993.txt,1,positive
296,752302_1993.txt,0,neutral
516,75208_1993.txt,-1,negative
164,751976_1993.txt,1,positive
531,751926_1993.txt,-1,negative
112,75129_1993.txt,-1,negative
55,751190_1993.txt,-1,negative
1037,75072_1993.txt,-1,negative
883,750577_1993.txt,-1,negative
180,75042_1993.txt,0,neutral
236,750234_1993.txt,-1,negative
334,749751_1993.txt,-1,negative
82,74931_1993.txt,-1,negative
96,74928_1993.txt,1,positive
123,748015_1993.txt,-1,negative
613,74783_1993.txt,1,positive
324,74778_1993.txt,-1,negative
416,746969_1993.txt,-1,negative
682,746838_1993.txt,-1,negative
28,745448_1993.txt,-1,negative
661,745308_1993.txt,-1,negative
4,745287_1993.txt,-1,negative
756,745276_1993.txt,-1,negative
365,743872_1993.txt,-1,negative
675,743653_1993.txt,0,neutral
21,743475_1993.txt,0,neutral
75,743443_1993.txt,-1,negative
391,743368_1993.txt,-1,negative
623,7431_1993.txt,0,neutral
260,74260_1993.txt,-1,negative
183,74208_1993.txt,-1,negative
945,741612_1993.txt,-1,negative
314,74145_1993.txt,0,neutral
1052,741341_1993.txt,-1,negative
906,74091_1993.txt,-1,negative
514,740868_1993.txt,-1,negative
136,740796_1993.txt,0,neutral
283,740763_1993.txt,0,neutral
1054,740694_1993.txt,-1,negative
275,740582_1993.txt,0,neutral
975,740156_1993.txt,1,positive
228,740126_1993.txt,-1,negative
419,739878_1993.txt,0,neutral
409,73986_1993.txt,-1,negative
1020,73945_1993.txt,1,positive
605,73918_1993.txt,1,positive
22,73902_1993.txt,-1,negative
597,7383_1993.txt,0,neutral
927,738339_1993.txt,-1,negative
212,737291_1993.txt,-1,negative
744,737287_1993.txt,-1,negative
794,736157_1993.txt,-1,negative
809,735553_1993.txt,-1,negative
521,7332_1993.txt,-1,negative
968,73309_1993.txt,-1,negative
985,732717_1993.txt,-1,negative
742,732715_1993.txt,-1,negative
467,732714_1993.txt,-1,negative
877,732713_1993.txt,0,neutral
1031,732712_1993.txt,-1,negative
50,732639_1993.txt,-1,negative
802,7323_1993.txt,-1,negative
657,732350_1993.txt,0,neutral
54,731859_1993.txt,-1,negative
532,7314_1993.txt,-1,negative
413,731288_1993.txt,1,positive
601,73124_1993.txt,-1,negative
147,73088_1993.txt,-1,negative
523,730409_1993.txt,0,neutral
208,73020_1993.txt,1,positive
546,72971_1993.txt,-1,negative
191,72945_1993.txt,-1,negative
460,72909_1993.txt,-1,negative
469,72903_1993.txt,-1,negative
1,7286_1993.txt,-1,negative
33,72859_1993.txt,1,positive
731,728586_1993.txt,-1,negative
342,727742_1993.txt,0,neutral
971,72741_1993.txt,-1,negative
429,726957_1993.txt,-1,negative
519,726927_1993.txt,-1,negative
343,726601_1993.txt,1,positive
587,726517_1993.txt,-1,negative
656,726513_1993.txt,-1,negative
991,725625_1993.txt,-1,negative
722,725457_1993.txt,1,positive
40,724941_1993.txt,0,neutral
808,724533_1993.txt,-1,negative
934,72423_1993.txt,-1,negative
471,723916_1993.txt,0,neutral
515,723371_1993.txt,0,neutral
858,72331_1993.txt,-1,negative
20,722573_1993.txt,1,positive
815,72243_1993.txt,-1,negative
422,722079_1993.txt,-1,negative
92,72162_1993.txt,0,neutral
154,7214_1993.txt,0,neutral
265,721083_1993.txt,1,positive
317,720695_1993.txt,0,neutral
187,72020_1993.txt,0,neutral
693,720032_1993.txt,0,neutral
537,719413_1993.txt,0,neutral
928,71932_1993.txt,0,neutral
150,719271_1993.txt,1,positive
178,719264_1993.txt,0,neutral
747,719244_1993.txt,-1,negative
149,719241_1993.txt,-1,negative
565,719227_1993.txt,-1,negative
900,718077_1993.txt,-1,negative
813,717829_1993.txt,0,neutral
464,717605_1993.txt,-1,negative
1017,717423_1993.txt,-1,negative
558,717217_1993.txt,-1,negative
93,71689_1993.txt,-1,negative
750,716783_1993.txt,0,neutral
358,71675_1993.txt,0,neutral
433,716634_1993.txt,1,positive
281,716302_1993.txt,-1,negative
918,716133_1993.txt,-1,negative
1053,716039_1993.txt,0,neutral
953,716006_1993.txt,-1,negative
754,71508_1993.txt,-1,negative
315,714655_1993.txt,-1,negative
603,714310_1993.txt,-1,negative
449,71428_1993.txt,1,positive
447,714154_1993.txt,1,positive
804,71344_1993.txt,-1,negative
255,71337_1993.txt,-1,negative
1027,71304_1993.txt,-1,negative
839,71297_1993.txt,-1,negative
997,712537_1993.txt,-1,negative
714,712534_1993.txt,-1,negative
718,71222_1993.txt,-1,negative
8,71180_1993.txt,-1,negative
778,711761_1993.txt,-1,negative
926,711604_1993.txt,-1,negative
800,711513_1993.txt,-1,negative
216,711404_1993.txt,-1,negative
1002,711083_1993.txt,-1,negative
602,711054_1993.txt,-1,negative
837,710979_1993.txt,-1,negative
988,709329_1993.txt,0,neutral
527,709145_1993.txt,0,neutral
79,708823_1993.txt,-1,negative
248,708481_1993.txt,1,positive
780,70684_1993.txt,-1,negative
1013,706166_1993.txt,-1,negative
773,706116_1993.txt,0,neutral
215,705752_1993.txt,0,neutral
97,704469_1993.txt,-1,negative
436,704386_1993.txt,1,positive
649,70415_1993.txt,0,neutral
234,703559_1993.txt,-1,negative
562,702808_1993.txt,-1,negative
13,702165_1993.txt,-1,negative
879,702163_1993.txt,-1,negative
697,701811_1993.txt,-1,negative
451,701708_1993.txt,-1,negative
1038,701546_1993.txt,-1,negative
956,701345_1993.txt,-1,negative
615,701221_1993.txt,-1,negative
1056,700850_1993.txt,-1,negative
781,700674_1993.txt,-1,negative
890,69970_1993.txt,-1,negative
263,69952_1993.txt,-1,negative
194,69680_1993.txt,0,neutral
153,69598_1993.txt,-1,negative
1003,68813_1993.txt,-1,negative
250,6879_1993.txt,-1,negative
834,68622_1993.txt,-1,negative
525,68589_1993.txt,-1,negative
311,68505_1993.txt,-1,negative
944,68412_1993.txt,1,positive
196,68330_1993.txt,-1,negative
1006,67716_1993.txt,0,neutral
513,6769_1993.txt,0,neutral
769,67686_1993.txt,-1,negative
838,67646_1993.txt,-1,negative
432,66960_1993.txt,-1,negative
253,66904_1993.txt,-1,negative
271,66901_1993.txt,-1,negative
763,66740_1993.txt,1,positive
227,66570_1993.txt,-1,negative
677,66479_1993.txt,-1,negative
743,66025_1993.txt,-1,negative
863,65873_1993.txt,-1,negative
861,65695_1993.txt,-1,negative
172,65660_1993.txt,-1,negative
948,65622_1993.txt,1,positive
915,65358_1993.txt,0,neutral
639,65100_1993.txt,-1,negative
242,64908_1993.txt,-1,negative
561,64907_1993.txt,-1,negative
914,64803_1993.txt,-1,negative
704,64782_1993.txt,-1,negative
345,6474_1993.txt,1,positive
443,64605_1993.txt,-1,negative
143,64394_1993.txt,0,neutral
580,64079_1993.txt,-1,negative
504,64040_1993.txt,-1,negative
950,63917_1993.txt,-1,negative
614,63814_1993.txt,-1,negative
748,63541_1993.txt,0,neutral
222,63506_1993.txt,-1,negative
400,63276_1993.txt,-1,negative
239,63073_1993.txt,-1,negative
226,62741_1993.txt,0,neutral
824,62142_1993.txt,1,positive
735,6176_1993.txt,-1,negative
749,6164_1993.txt,-1,negative
745,61617_1993.txt,-1,negative
1043,61478_1993.txt,0,neutral
126,61339_1993.txt,-1,negative
257,60860_1993.txt,0,neutral
426,6082_1993.txt,0,neutral
129,60751_1993.txt,-1,negative
348,60714_1993.txt,-1,negative
670,60549_1993.txt,1,positive
0,60527_1993.txt,-1,negative
490,60519_1993.txt,1,positive
943,60302_1993.txt,0,neutral
1050,60251_1993.txt,1,positive
753,60195_1993.txt,-1,negative
553,60086_1993.txt,0,neutral
181,60041_1993.txt,0,neutral
142,60026_1993.txt,0,neutral
706,59527_1993.txt,0,neutral
611,59498_1993.txt,1,positive
835,59478_1993.txt,-1,negative
478,59255_1993.txt,0,neutral
30,59198_1993.txt,-1,negative
872,58696_1993.txt,1,positive
641,58091_1993.txt,-1,negative
462,56047_1993.txt,0,neutral
798,55785_1993.txt,-1,negative
364,55642_1993.txt,0,neutral
579,55604_1993.txt,-1,negative
1012,5550_1993.txt,-1,negative
647,55458_1993.txt,-1,negative
300,55387_1993.txt,0,neutral
889,55373_1993.txt,-1,negative
1029,55195_1993.txt,-1,negative
1016,55067_1993.txt,1,positive
957,54681_1993.txt,-1,negative
1047,54507_1993.txt,-1,negative
492,54502_1993.txt,0,neutral
189,54496_1993.txt,-1,negative
979,54480_1993.txt,-1,negative
403,54476_1993.txt,0,neutral
911,54381_1993.txt,-1,negative
455,54291_1993.txt,0,neutral
715,54182_1993.txt,-1,negative
169,5405_1993.txt,-1,negative
88,54056_1993.txt,0,neutral
322,54045_1993.txt,-1,negative
925,53540_1993.txt,-1,negative
497,53456_1993.txt,-1,negative
700,53347_1993.txt,-1,negative
252,53117_1993.txt,-1,negative
240,52827_1993.txt,0,neutral
1045,52825_1993.txt,0,neutral
404,52491_1993.txt,-1,negative
713,52485_1993.txt,1,positive
847,52477_1993.txt,-1,negative
777,52466_1993.txt,-1,negative
577,52428_1993.txt,0,neutral
898,5207_1993.txt,0,neutral
388,5187_1993.txt,-1,negative
949,51720_1993.txt,-1,negative
571,51644_1993.txt,-1,negative
439,51434_1993.txt,-1,negative
318,51303_1993.txt,-1,negative
41,51296_1993.txt,-1,negative
446,51207_1993.txt,1,positive
946,51200_1993.txt,-1,negative
680,51143_1993.txt,-1,negative
1046,5103_1993.txt,-1,negative
48,50957_1993.txt,-1,negative
710,50863_1993.txt,-1,negative
617,50548_1993.txt,0,neutral
470,50341_1993.txt,-1,negative
822,50217_1993.txt,-1,negative
463,50178_1993.txt,-1,negative
856,50172_1993.txt,-1,negative
663,5016_1993.txt,-1,negative
414,50104_1993.txt,1,positive
235,49826_1993.txt,-1,negative
1024,49789_1993.txt,1,positive
635,4977_1993.txt,-1,negative
105,4969_1993.txt,-1,negative
473,4962_1993.txt,-1,negative
606,49588_1993.txt,1,positive
23,49423_1993.txt,-1,negative
140,49071_1993.txt,-1,negative
6,48732_1993.txt,0,neutral
72,48681_1993.txt,0,neutral
505,48305_1993.txt,0,neutral
816,4829_1993.txt,-1,negative
86,48174_1993.txt,-1,negative
420,47580_1993.txt,-1,negative
885,47217_1993.txt,-1,negative
368,47129_1993.txt,0,neutral
1015,47111_1993.txt,-1,negative
498,46989_1993.txt,0,neutral
775,46738_1993.txt,1,positive
582,46216_1993.txt,-1,negative
805,46207_1993.txt,-1,negative
664,46195_1993.txt,0,neutral
1048,46080_1993.txt,-1,negative
246,45919_1993.txt,-1,negative
444,45876_1993.txt,-1,negative
526,45599_1993.txt,-1,negative
157,45370_1993.txt,-1,negative
651,4515_1993.txt,1,positive
293,45012_1993.txt,-1,negative
535,44801_1993.txt,1,positive
106,44545_1993.txt,-1,negative
434,4447_1993.txt,-1,negative
699,4427_1993.txt,-1,negative
962,44279_1993.txt,-1,negative
276,43960_1993.txt,-1,negative
854,43952_1993.txt,-1,negative
650,43704_1993.txt,-1,negative
325,4310_1993.txt,-1,negative
389,42872_1993.txt,-1,negative
795,4281_1993.txt,-1,negative
458,42293_1993.txt,-1,negative
285,41850_1993.txt,0,neutral
796,41499_1993.txt,-1,negative
539,41091_1993.txt,-1,negative
787,41077_1993.txt,-1,negative
482,40987_1993.txt,-1,negative
940,40888_1993.txt,1,positive
633,40878_1993.txt,-1,negative
766,40874_1993.txt,-1,negative
897,40867_1993.txt,-1,negative
1001,40865_1993.txt,-1,negative
882,40864_1993.txt,-1,negative
496,40858_1993.txt,1,positive
152,40834_1993.txt,-1,negative
100,40779_1993.txt,-1,negative
567,40730_1993.txt,-1,negative
465,40729_1993.txt,0,neutral
247,40554_1993.txt,1,positive
454,40545_1993.txt,-1,negative
219,40533_1993.txt,-1,negative
557,40493_1993.txt,-1,negative
1019,40454_1993.txt,-1,negative
568,40211_1993.txt,-1,negative
642,39899_1993.txt,-1,negative
323,39677_1993.txt,1,positive
961,39547_1993.txt,-1,negative
302,3941_1993.txt,0,neutral
378,39263_1993.txt,-1,negative
421,38777_1993.txt,1,positive
574,38723_1993.txt,-1,negative
382,38475_1993.txt,-1,negative
517,38009_1993.txt,1,positive
855,37996_1993.txt,1,positive
71,37941_1993.txt,-1,negative
598,37931_1993.txt,-1,negative
90,37785_1993.txt,-1,negative
511,37748_1993.txt,-1,negative
607,37637_1993.txt,1,positive
862,37634_1993.txt,0,neutral
1007,3721_1993.txt,-1,negative
402,37115_1993.txt,0,neutral
37,37076_1993.txt,0,neutral
16,36995_1993.txt,-1,negative
672,36966_1993.txt,-1,negative
790,3673_1993.txt,-1,negative
849,36703_1993.txt,1,positive
485,36678_1993.txt,-1,negative
339,36672_1993.txt,-1,negative
812,36510_1993.txt,-1,negative
193,3650_1993.txt,-1,negative
817,36377_1993.txt,-1,negative
981,36340_1993.txt,-1,negative
491,36326_1993.txt,-1,negative
1023,36270_1993.txt,-1,negative
340,36161_1993.txt,-1,negative
476,36104_1993.txt,-1,negative
138,36068_1993.txt,0,neutral
666,36029_1993.txt,-1,negative
428,357301_1993.txt,-1,negative
1021,357261_1993.txt,-1,negative
609,357019_1993.txt,0,neutral
200,356801_1993.txt,0,neutral
671,356130_1993.txt,-1,negative
976,356050_1993.txt,1,positive
892,355883_1993.txt,-1,negative
752,355787_1993.txt,-1,negative
654,355473_1993.txt,-1,negative
931,355429_1993.txt,-1,negative
259,35527_1993.txt,-1,negative
559,355069_1993.txt,1,positive
185,354964_1993.txt,-1,negative
616,354869_1993.txt,-1,negative
320,354707_1993.txt,-1,negative
896,354647_1993.txt,-1,negative
884,354396_1993.txt,-1,negative
917,353944_1993.txt,1,positive
973,353524_1993.txt,0,neutral
941,352949_1993.txt,-1,negative
424,352947_1993.txt,-1,negative
725,352942_1993.txt,-1,negative
146,352915_1993.txt,1,positive
970,352541_1993.txt,-1,negative
374,352510_1993.txt,-1,negative
57,352363_1993.txt,-1,negative
117,35214_1993.txt,-1,negative
865,352049_1993.txt,-1,negative
231,351979_1993.txt,-1,negative
679,351936_1993.txt,0,neutral
214,351825_1993.txt,-1,negative
923,351696_1993.txt,-1,negative
610,351238_1993.txt,0,neutral
412,351145_1993.txt,-1,negative
477,351116_1993.txt,1,positive
964,350847_1993.txt,0,neutral
224,350667_1993.txt,-1,negative
351,350572_1993.txt,-1,negative
825,34903_1993.txt,-1,negative
173,34879_1993.txt,1,positive
385,34616_1993.txt,-1,negative
886,34501_1993.txt,-1,negative
520,3449_1993.txt,-1,negative
179,34285_1993.txt,1,positive
151,33837_1993.txt,0,neutral
533,33798_1993.txt,0,neutral
321,33619_1993.txt,-1,negative
618,33565_1993.txt,0,neutral
912,33213_1993.txt,1,positive
177,32377_1993.txt,0,neutral
312,320446_1993.txt,0,neutral
